Age,Education,Education Yrs,Marital Status,Employer,Occupation,Relationship Status,Sex,Capital Gain,Capital Loss,Hours per Week,Native Country,Salary
49, HS-grad,9, Separated, Private, Adm-clerical, Unmarried, Female,0,0,40, United-States,94638
25, HS-grad,9, Never-married, Private, Handlers-cleaners, Not-in-family, Male,0,0,35, United-States,289980
57, Bachelors,13, Married-civ-spouse, Federal-gov, Prof-specialty, Husband, Male,0,0,40, United-States,337895
53, HS-grad,9, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,0,0,38, United-States,144361
44, Masters,14, Divorced, Private, Exec-managerial, Unmarried, Female,0,0,40, United-States,128354
41, Assoc-voc,11, Married-civ-spouse, State-gov, Craft-repair, Husband, Male,0,0,40, United-States,101603
29, Assoc-voc,11, Never-married, Private, Prof-specialty, Not-in-family, Male,0,0,43, United-States,271466
25, Some-college,10, Married-civ-spouse, Private, Exec-managerial, Wife, Female,0,0,40, United-States,32275
18, HS-grad,9, Never-married, Private, Other-service, Own-child, Female,0,0,30, ?,226956
47, Prof-school,15, Married-civ-spouse, Private, Prof-specialty, Wife, Female,0,1902,60, Honduras,51835
50, Bachelors,13, Divorced, Federal-gov, Exec-managerial, Not-in-family, Male,0,0,55, United-States,251585
47, HS-grad,9, Divorced, Self-emp-inc, Exec-managerial, Not-in-family, Male,0,0,60, United-States,109832
43, Some-college,10, Married-civ-spouse, Private, Tech-support, Husband, Male,0,0,40, United-States,237993
46, 5th-6th,3, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,0,0,40, Mexico,216666
35, Assoc-voc,11, Married-civ-spouse, Private, Other-service, Husband, Male,0,0,40, Puerto-Rico,56352
41, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,48, United-States,147372
30, HS-grad,9, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,5013,0,40, United-States,188146
30, Bachelors,13, Married-civ-spouse, Private, Sales, Husband, Male,2407,0,40, United-States,59496
32, 7th-8th,4, Married-spouse-absent, ?, ?, Not-in-family, Male,0,0,40, ?,293936
48, HS-grad,9, Married-civ-spouse, Private, Transport-moving, Husband, Male,0,0,40, United-States,149640
42, Doctorate,16, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,45, United-States,116632
29, Some-college,10, Divorced, Private, Tech-support, Not-in-family, Male,0,0,58, United-States,105598
36, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,155537
28, Some-college,10, Divorced, Private, Adm-clerical, Not-in-family, Female,0,0,40, United-States,183175
53, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Wife, Female,0,0,40, United-States,169846
49, Some-college,10, Married-civ-spouse, Self-emp-inc, Exec-managerial, Husband, Male,0,0,50, United-States,191681
25, Some-college,10, Never-married, ?, ?, Own-child, Male,0,0,40, United-States,200681
19, Some-college,10, Never-married, Private, Prof-specialty, Own-child, Male,0,0,32, United-States,101509
31, Bachelors,13, Separated, Private, Sales, Own-child, Female,0,0,40, United-States,309974
29, Bachelors,13, Married-civ-spouse, Self-emp-not-inc, Sales, Husband, Male,0,0,70, United-States,162298
23, Some-college,10, Never-married, Private, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,211678
79, Some-college,10, Married-civ-spouse, Private, Prof-specialty, Other-relative, Male,0,0,20, United-States,124744
27, HS-grad,9, Never-married, Private, Other-service, Own-child, Male,0,0,40, Mexico,213921
40, Assoc-acdm,12, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,40, United-States,32214
67, 10th,6, Married-civ-spouse, ?, ?, Husband, Male,0,0,2, United-States,212759
18, 11th,7, Never-married, Private, Other-service, Own-child, Female,0,0,22, United-States,309634
31, 7th-8th,4, Married-civ-spouse, Local-gov, Farming-fishing, Husband, Male,0,0,40, United-States,125927
18, HS-grad,9, Never-married, Private, Sales, Not-in-family, Male,0,0,30, United-States,446839
52, Bachelors,13, Married-civ-spouse, Private, Other-service, Husband, Male,0,0,40, Cuba,276515
46, HS-grad,9, Married-civ-spouse, Private, Other-service, Wife, Female,0,0,40, United-States,51618
59, HS-grad,9, Married-civ-spouse, Private, Sales, Husband, Male,0,0,48, United-States,159937
44, HS-grad,9, Divorced, Private, Craft-repair, Not-in-family, Female,14344,0,40, United-States,343591
53, HS-grad,9, Divorced, Private, Sales, Own-child, Female,0,0,35, United-States,346253
49, HS-grad,9, Married-civ-spouse, Local-gov, Protective-serv, Husband, Male,0,0,40, United-States,268234
33, Masters,14, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,50, United-States,202051
30, 9th,5, Never-married, Private, Sales, Not-in-family, Male,0,0,40, United-States,54334
43, Doctorate,16, Never-married, Federal-gov, Prof-specialty, Not-in-family, Female,0,0,50, United-States,410867
57, Assoc-voc,11, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,40, United-States,249977
37, Some-college,10, Divorced, Private, Craft-repair, Unmarried, Female,0,0,40, United-States,286730
28, Some-college,10, Divorced, Private, Machine-op-inspct, Unmarried, Female,0,0,25, United-States,212563
30, HS-grad,9, Married-civ-spouse, Private, Sales, Wife, Female,0,1573,35, ?,117747
34, Bachelors,13, Married-civ-spouse, Local-gov, Protective-serv, Husband, Male,0,0,40, United-States,226296
29, Some-college,10, Never-married, Local-gov, Handlers-cleaners, Not-in-family, Male,0,0,50, United-States,115585
48, Doctorate,16, Married-civ-spouse, Self-emp-not-inc, Prof-specialty, Husband, Male,0,1902,60, United-States,191277
37, Some-college,10, Married-civ-spouse, Private, Sales, Husband, Male,0,0,48, United-States,202683
48, Assoc-acdm,12, Divorced, Private, Exec-managerial, Unmarried, Female,0,0,40, England,171095
32, HS-grad,9, Never-married, Federal-gov, Other-service, Own-child, Male,0,0,40, United-States,249409
76, Masters,14, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,40, United-States,124191
44, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Husband, Male,15024,0,60, United-States,198282
47, Masters,14, Never-married, Self-emp-not-inc, Prof-specialty, Not-in-family, Female,0,0,50, United-States,149116
20, Some-college,10, Never-married, Private, Tech-support, Own-child, Female,0,0,40, United-States,188300
29, HS-grad,9, Never-married, Private, Craft-repair, Not-in-family, Male,0,0,40, United-States,103432
32, HS-grad,9, Married-civ-spouse, Self-emp-inc, Craft-repair, Husband, Male,7688,0,40, United-States,317660
17, 10th,6, Never-married, ?, ?, Own-child, Female,34095,0,32, United-States,304873
30, 11th,7, Never-married, Private, Handlers-cleaners, Own-child, Male,0,0,40, United-States,194901
31, HS-grad,9, Never-married, Local-gov, Adm-clerical, Not-in-family, Female,0,0,40, United-States,189265
42, HS-grad,9, Married-civ-spouse, Private, Handlers-cleaners, Husband, Male,0,0,40, United-States,124692
24, Bachelors,13, Never-married, Private, Sales, Other-relative, Male,0,0,40, United-States,432376
38, Prof-school,15, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,40, United-States,65324
56, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Other-service, Husband, Male,0,1887,50, Canada,335605
28, Some-college,10, Married-civ-spouse, Private, Sales, Wife, Female,4064,0,25, United-States,377869
36, HS-grad,9, Never-married, Private, Machine-op-inspct, Own-child, Female,0,0,40, United-States,102864
53, 9th,5, Married-civ-spouse, Private, Handlers-cleaners, Husband, Male,0,0,50, United-States,95647
56, Some-college,10, Married-civ-spouse, Self-emp-inc, Sales, Husband, Male,0,0,50, United-States,303090
49, Assoc-voc,11, Married-civ-spouse, Local-gov, Craft-repair, Husband, Male,0,0,40, United-States,197371
55, Some-college,10, Married-civ-spouse, Private, Sales, Husband, Male,0,0,56, United-States,247552
22, HS-grad,9, Never-married, Private, Craft-repair, Not-in-family, Male,0,0,41, United-States,102632
21, Some-college,10, Never-married, Private, Other-service, Own-child, Female,0,0,40, United-States,199915
40, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,60, United-States,118853
30, Bachelors,13, Never-married, Private, Exec-managerial, Own-child, Male,0,0,40, Germany,77143
29, Bachelors,13, Married-civ-spouse, State-gov, Prof-specialty, Husband, Male,0,0,50, United-States,267989
19, Some-college,10, Never-married, Private, Other-service, Own-child, Male,0,0,35, United-States,301606
47, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Wife, Female,0,0,40, United-States,287828
20, Some-college,10, Never-married, Private, Adm-clerical, Own-child, Female,0,1719,28, United-States,111697
31, Assoc-acdm,12, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,40, United-States,114937
35, HS-grad,9, Married-civ-spouse, ?, ?, Husband, Male,0,0,40, United-States,129305
39, Some-college,10, Divorced, Private, Craft-repair, Not-in-family, Male,0,0,40, United-States,365739
28, Assoc-acdm,12, Never-married, Private, Sales, Not-in-family, Female,0,0,60, United-States,69621
24, HS-grad,9, Never-married, Private, Other-service, Not-in-family, Female,0,1762,40, United-States,43323
38, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Craft-repair, Husband, Male,4386,0,35, United-States,120985
37, Bachelors,13, Married-civ-spouse, Private, Sales, Husband, Male,0,0,50, United-States,254202
46, Assoc-acdm,12, Divorced, Private, Tech-support, Not-in-family, Female,0,0,36, United-States,146195
38, Masters,14, Married-civ-spouse, Federal-gov, Prof-specialty, Husband, Male,0,0,40, Iran,125933
43, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Craft-repair, Husband, Male,0,0,60, United-States,56920
27, Assoc-voc,11, Married-civ-spouse, Private, Adm-clerical, Wife, Female,0,0,35, United-States,163127
20, Some-college,10, Never-married, Private, Sales, Own-child, Male,0,0,20, United-States,34310
49, Some-college,10, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,81973
61, HS-grad,9, Married-civ-spouse, Self-emp-inc, Craft-repair, Husband, Male,0,0,40, United-States,66614
27, Some-college,10, Never-married, Private, Sales, Own-child, Female,0,0,40, United-States,232782
19, Some-college,10, Never-married, Private, Other-service, Own-child, Male,0,0,30, Mexico,316868
45, Assoc-voc,11, Never-married, Private, Prof-specialty, Not-in-family, Female,0,1564,40, United-States,196584
70, Some-college,10, Never-married, Private, Tech-support, Other-relative, Male,0,0,40, United-States,105376
31, HS-grad,9, Never-married, Private, Transport-moving, Unmarried, Female,0,0,30, United-States,185814
22, Some-college,10, Married-civ-spouse, Private, Other-service, Husband, Male,0,0,24, United-States,175374
36, HS-grad,9, Widowed, Private, Other-service, Unmarried, Female,0,0,24, United-States,108293
64, 11th,7, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,2179,40, United-States,181232
43, Some-college,10, Divorced, ?, ?, Not-in-family, Female,0,0,40, United-States,174662
47, Some-college,10, Divorced, Local-gov, Adm-clerical, Unmarried, Female,0,0,38, Mexico,186009
34, HS-grad,9, Never-married, Private, Adm-clerical, Not-in-family, Female,0,0,40, United-States,198183
33, Bachelors,13, Never-married, Private, Exec-managerial, Other-relative, Female,0,0,40, Philippines,163003
21, HS-grad,9, Never-married, Private, Craft-repair, Own-child, Male,0,0,35, United-States,296158
52, HS-grad,9, Divorced, ?, ?, Not-in-family, Male,0,0,45, United-States,252903
48, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,46, United-States,187715
23, Bachelors,13, Never-married, Private, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,214542
71, Some-college,10, Separated, Self-emp-not-inc, Sales, Unmarried, Male,0,1816,2, United-States,494223
29, HS-grad,9, Divorced, Private, Craft-repair, Not-in-family, Male,0,0,60, United-States,191535
42, Bachelors,13, Separated, Private, Other-service, Other-relative, Male,0,0,50, United-States,228456
68, 1st-4th,2, Divorced, ?, ?, Not-in-family, Female,0,0,20, United-States,38317
25, HS-grad,9, Never-married, Private, Other-service, Unmarried, Female,0,0,40, United-States,252752
44, Masters,14, Divorced, Self-emp-inc, Exec-managerial, Unmarried, Female,0,0,40, United-States,78374
28, HS-grad,9, Never-married, Private, Exec-managerial, Not-in-family, Female,0,0,40, England,88419
45, Masters,14, Married-civ-spouse, Self-emp-not-inc, Sales, Husband, Male,0,0,40, United-States,201080
36, Some-college,10, Divorced, Private, Other-service, Unmarried, Female,0,0,40, Mexico,207157
39, Assoc-acdm,12, Never-married, Federal-gov, Exec-managerial, Not-in-family, Male,0,0,42, United-States,235485
46, Masters,14, Widowed, State-gov, Protective-serv, Unmarried, Male,0,0,40, United-States,102628
18, 11th,7, Never-married, Private, Handlers-cleaners, Own-child, Male,0,0,16, United-States,25828
66, Assoc-voc,11, Widowed, Local-gov, Prof-specialty, Not-in-family, Female,0,0,20, United-States,54826
27, HS-grad,9, Never-married, Private, Other-service, Not-in-family, Male,0,1980,40, United-States,124953
28, HS-grad,9, Married-civ-spouse, State-gov, Protective-serv, Husband, Male,0,0,40, United-States,175325
51, Some-college,10, Married-civ-spouse, Private, Sales, Husband, Male,0,1977,40, United-States,96062
27, Bachelors,13, Never-married, Private, Craft-repair, Not-in-family, Male,0,0,50, United-States,428030
28, Bachelors,13, Married-civ-spouse, State-gov, Prof-specialty, Husband, Male,0,0,40, United-States,149624
27, HS-grad,9, Married-spouse-absent, Private, Sales, Unmarried, Female,0,0,25, United-States,253814
21, HS-grad,9, Never-married, Private, Craft-repair, Own-child, Male,0,0,40, United-States,312956
34, HS-grad,9, Never-married, Private, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,483777
18, HS-grad,9, Never-married, Private, Other-service, Own-child, Male,0,0,12, United-States,183930
33, Bachelors,13, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,65, United-States,37274
44, Some-college,10, Married-civ-spouse, Local-gov, Exec-managerial, Husband, Male,0,0,38, United-States,181344
43, Some-college,10, Divorced, Private, Adm-clerical, Not-in-family, Female,0,0,40, United-States,114580
30, Some-college,10, Never-married, Private, Craft-repair, Not-in-family, Male,0,0,45, United-States,633742
40, 7th-8th,4, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,0,0,40, Mexico,286370
37, Some-college,10, Married-civ-spouse, Federal-gov, Adm-clerical, Husband, Male,0,0,42, United-States,29054
34, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,40, United-States,304030
41, Bachelors,13, Divorced, Self-emp-not-inc, Exec-managerial, Not-in-family, Female,0,0,40, United-States,143129
53, Bachelors,13, Divorced, ?, ?, Not-in-family, Female,0,0,50, United-States,135105
31, Masters,14, Married-civ-spouse, Private, Prof-specialty, Wife, Female,0,0,50, United-States,99928
58, Doctorate,16, Married-civ-spouse, State-gov, Prof-specialty, Husband, Male,0,0,1, United-States,109567
38, Some-college,10, Divorced, Private, Machine-op-inspct, Not-in-family, Female,0,0,28, United-States,155222
24, Some-college,10, Married-civ-spouse, Private, Machine-op-inspct, Husband, Male,0,0,40, United-States,159567
41, Bachelors,13, Married-civ-spouse, Local-gov, Craft-repair, Husband, Male,0,0,40, United-States,523910
47, Some-college,10, Married-civ-spouse, Private, Tech-support, Husband, Male,0,0,45, United-States,120939
41, Bachelors,13, Married-civ-spouse, Federal-gov, Tech-support, Husband, Male,0,0,24, United-States,130760
23, 5th-6th,3, Married-civ-spouse, Private, Transport-moving, Other-relative, Male,0,0,40, Mexico,197387
36, Some-college,10, Divorced, Private, Craft-repair, Not-in-family, Male,0,0,40, United-States,99374
40, Masters,14, Never-married, Federal-gov, Exec-managerial, Not-in-family, Female,14084,0,55, United-States,56795
35, Masters,14, Married-civ-spouse, Private, Prof-specialty, Other-relative, Male,7298,0,40, United-States,138992
24, HS-grad,9, Never-married, Self-emp-not-inc, Sales, Not-in-family, Male,0,0,40, United-States,32921
26, Masters,14, Never-married, Private, Prof-specialty, Not-in-family, Female,0,1876,40, United-States,397317
19, HS-grad,9, Never-married, ?, ?, Own-child, Male,0,0,40, Italy,170653
51, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,50, United-States,259323
42, Some-college,10, Never-married, Local-gov, Prof-specialty, Not-in-family, Female,0,1340,40, United-States,254817
37, HS-grad,9, Divorced, State-gov, Adm-clerical, Unmarried, Female,0,0,35, United-States,48211
18, 11th,7, Never-married, Private, Sales, Own-child, Female,0,0,40, United-States,140164
36, Bachelors,13, Married-civ-spouse, Private, Other-service, Husband, Male,7298,0,36, United-States,128757
35, HS-grad,9, Divorced, Private, Craft-repair, Not-in-family, Male,0,0,60, United-States,36270
58, HS-grad,9, Married-civ-spouse, Self-emp-inc, Sales, Wife, Female,15024,0,35, United-States,210563
17, 11th,7, Never-married, Private, Sales, Own-child, Female,0,0,12, United-States,65368
44, HS-grad,9, Married-civ-spouse, Local-gov, Transport-moving, Husband, Male,0,0,40, United-States,160943
37, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,208358
35, Some-college,10, Never-married, Private, Sales, Not-in-family, Female,0,0,40, United-States,153790
60, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,85815
54, 7th-8th,4, Married-civ-spouse, Self-emp-inc, Machine-op-inspct, Husband, Male,0,0,40, United-States,125417
37, Bachelors,13, Never-married, Private, Exec-managerial, Not-in-family, Male,0,0,60, United-States,635913
50, Assoc-acdm,12, Divorced, Private, Sales, Not-in-family, Female,0,0,40, United-States,313321
38, Bachelors,13, Married-civ-spouse, Private, Sales, Husband, Male,0,0,50, Poland,182609
45, Bachelors,13, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,55, United-States,109434
25, 10th,6, Never-married, Private, Craft-repair, Not-in-family, Male,0,0,40, United-States,255004
31, Some-college,10, Married-civ-spouse, Private, Handlers-cleaners, Husband, Male,0,0,40, United-States,197860
64, 1st-4th,2, Divorced, ?, ?, Not-in-family, Male,0,0,40, United-States,187656
90, HS-grad,9, Never-married, Private, Other-service, Not-in-family, Male,0,2206,40, United-States,51744
54, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,20, United-States,176681
53, Preschool,1, Never-married, Local-gov, Machine-op-inspct, Not-in-family, Female,0,0,35, United-States,140359
18, HS-grad,9, Never-married, Private, Sales, Own-child, Female,0,0,40, United-States,243313
60, 10th,6, Divorced, ?, ?, Not-in-family, Female,0,0,10, United-States,24215
66, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Farming-fishing, Husband, Male,1409,0,50, United-States,167687
75, Assoc-voc,11, Widowed, Private, Adm-clerical, Not-in-family, Female,0,0,20, Columbia,314209
65, HS-grad,9, Divorced, Private, Adm-clerical, Not-in-family, Female,0,0,40, United-States,176796
35, 11th,7, Separated, Private, Transport-moving, Not-in-family, Male,3674,0,40, United-States,538583
41, HS-grad,9, Divorced, Private, Sales, Unmarried, Female,0,0,38, United-States,130408
25, Some-college,10, Never-married, Private, Adm-clerical, Not-in-family, Male,0,0,42, United-States,159732
33, Some-college,10, Divorced, Private, Craft-repair, Other-relative, Female,0,0,40, United-States,110978
28, Prof-school,15, Never-married, Private, Prof-specialty, Not-in-family, Male,0,0,55, United-States,76714
59, HS-grad,9, Married-civ-spouse, State-gov, Other-service, Husband, Male,0,0,40, United-States,268700
40, Some-college,10, Never-married, State-gov, Adm-clerical, Not-in-family, Female,0,0,38, United-States,170525
41, Bachelors,13, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,50, Iran,180138
38, Masters,14, Married-civ-spouse, Local-gov, Exec-managerial, Husband, Male,0,0,70, United-States,115076
23, HS-grad,9, Never-married, Private, Transport-moving, Own-child, Male,0,0,40, United-States,115458
40, Bachelors,13, Married-civ-spouse, Private, Prof-specialty, Husband, Male,0,0,40, United-States,347890
41, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Other-service, Wife, Female,0,0,20, United-States,196001
24, Assoc-acdm,12, Married-civ-spouse, State-gov, Protective-serv, Husband, Male,0,0,50, United-States,273905
20, Some-college,10, Never-married, ?, ?, Own-child, Male,0,0,20, United-States,119156
38, Some-college,10, Divorced, Private, Craft-repair, Not-in-family, Male,0,1741,40, United-States,179488
56, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,35, ?,203580
58, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,45, United-States,236596
32, HS-grad,9, Never-married, Private, Other-service, Not-in-family, Female,0,0,34, United-States,183916
40, Assoc-acdm,12, Married-civ-spouse, Private, Tech-support, Husband, Male,0,1977,60, United-States,207578
45, HS-grad,9, Married-civ-spouse, Private, Adm-clerical, Husband, Male,0,0,40, ?,153141
41, Prof-school,15, Married-civ-spouse, Private, Prof-specialty, Wife, Female,0,0,40, United-States,112763
42, Bachelors,13, Married-civ-spouse, Private, Adm-clerical, Wife, Female,0,0,40, United-States,390781
59, 10th,6, Widowed, Local-gov, Other-service, Unmarried, Female,0,0,30, United-States,171328
19, Some-college,10, Never-married, Local-gov, Adm-clerical, Own-child, Male,0,0,40, United-States,27382
58, Some-college,10, Never-married, Private, Transport-moving, Not-in-family, Male,0,0,20, United-States,259014
42, HS-grad,9, Married-civ-spouse, Self-emp-not-inc, Farming-fishing, Husband, Male,0,0,40, Cambodia,303044
20, HS-grad,9, Never-married, Private, Other-service, Own-child, Female,0,0,40, United-States,117789
32, HS-grad,9, Separated, Private, Other-service, Not-in-family, Female,0,0,30, United-States,172579
45, Assoc-voc,11, Widowed, Private, Exec-managerial, Not-in-family, Female,0,0,45, United-States,187666
50, 7th-8th,4, Divorced, Private, Craft-repair, Not-in-family, Male,0,0,40, United-States,204518
36, Bachelors,13, Divorced, Private, Prof-specialty, Own-child, Female,0,0,40, United-States,150042
45, HS-grad,9, Married-civ-spouse, Private, Sales, Husband, Male,0,0,60, United-States,98092
17, 11th,7, Never-married, Private, Other-service, Own-child, Male,0,0,12, United-States,245918
59, Some-college,10, Married-civ-spouse, Private, Sales, Husband, Male,4064,0,40, United-States,146013
26, 11th,7, Married-civ-spouse, Private, Craft-repair, Husband, Male,0,0,40, United-States,378322
37, Some-college,10, Married-civ-spouse, Self-emp-inc, Exec-managerial, Husband, Male,0,0,75, Thailand,257295
19, Some-college,10, Never-married, ?, ?, Own-child, Male,0,0,24, Canada,218956
64, HS-grad,9, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,40, United-States,21174
33, Bachelors,13, Never-married, Private, Prof-specialty, Not-in-family, Female,0,0,45, United-States,185480
33, HS-grad,9, Married-civ-spouse, Private, Craft-repair, Wife, Female,0,0,40, United-States,222205
61, HS-grad,9, Married-civ-spouse, Private, Exec-managerial, Husband, Male,0,0,40, United-States,69867
17, 9th,5, Never-married, Private, Other-service, Own-child, Male,1055,0,24, United-States,191260
50, Masters,14, Married-civ-spouse, Self-emp-not-inc, Farming-fishing, Husband, Male,2407,0,98, United-States,30653
27, Masters,14, Never-married, Local-gov, Prof-specialty, Own-child, Male,0,0,35, United-States,209109
30, HS-grad,9, Divorced, Private, Prof-specialty, Own-child, Female,0,0,40, United-States,70377
43, HS-grad,9, Married-civ-spouse, Private, Handlers-cleaners, Husband, Male,0,0,40, United-States,477983
44, Some-college,10, Married-civ-spouse, Private, Craft-repair, Husband, Male,7298,0,40, United-States,170924
35, Some-college,10, Never-married, Private, Exec-managerial, Not-in-family, Female,0,0,40, United-States,190174
25, Some-college,10, Never-married, Private, Tech-support, Own-child, Female,0,0,40, United-States,193787
